"","STATION","LATITUDE","LONGITUDE"
"1","USC00010252",31.3072,-86.5225
"2","USC00010583",30.8839,-87.7853
"3","USC00011084",31.0583,-87.055
"4","USC00012813",30.5467,-87.8808
"5","USC00013511",32.6922,-87.5761
"6","USC00013519",31.79,-86.6086
"7","USC00013620",34.2314,-87.6353
"8","USC00013816",31.8814,-86.2503
"9","USC00014502",32.9069,-85.4336
"10","USC00016121",33.9264,-86.4211
"11","USC00016988",30.5653,-87.7017
"12","USC00017157",34.1736,-86.8133
"13","USC00017304",34.6736,-86.0536
"14","USC00017366",32.4111,-87.0144
"15","USC00018024",33.4164,-86.135
"16","USC00018178",31.9172,-87.7347
"17","USC00018438",32.0142,-85.7464
"18","USC00018469",34.5686,-85.6064
"19","USC00020080",32.3697,-112.86
"20","USC00020159",33.8492,-109.1469
"21","USC00020632",33.8097,-111.6497
"22","USC00020750",36.6778,-110.5411
"23","USC00021314",32.9947,-111.5367
"24","USC00021654",34.7569,-112.4567
"25","USC00022109",34.305,-112.165
"26","USC00023160",35.2719,-111.73
"27","USC00023303",35.7089,-109.5539
"28","USC00023393",32.9381,-112.6811
"29","USC00024453",34.7539,-112.1114
"30","USC00025412",34.1133,-109.86
"31","USC00025635",34.6106,-111.8383
"32","USC00025700",33.5539,-111.4447
"33","USC00026132",31.9556,-112.8003
"34","USC00026250",34.1547,-114.2908
"35","USC00026468",34.7994,-109.885
"36","USC00026796",34.5706,-112.4322
"37","USC00027281",33.6489,-111.1089
"38","USC00027435",34.5172,-109.4028
"39","USC00027716",35.3319,-112.8794
"40","USC00028012",34.5081,-110.0839
"41","USC00028162",34.1311,-109.275
"42","USC00028619",31.7119,-110.0686
"43","USC00028865",31.5678,-111.0497
"44","USC00029287",33.9792,-112.7403
"45","USC00029334",32.2553,-109.8369
"46","USC00029359",35.2414,-112.1928
"47","USC00029542",35.5197,-111.3719
"48","USC00030130",34.7961,-92.8417
"49","USC00030220",34.1433,-93.0589
"50","USC00030582",34.5675,-92.6006
"51","USC00030936",34.8822,-91.2153
"52","USC00031152",33.59,-92.8236
"53","USC00031632",36.4083,-90.5917
"54","USC00031730",33.1111,-91.9481
"55","USC00031838",35.2342,-93.1675
"56","USC00031948",34.0464,-94.3481
"57","USC00031968",34.9772,-91.4978
"58","USC00032148",33.8886,-91.5317
"59","USC00032356",36.4164,-93.7917
"60","USC00032444",36.1011,-94.1736
"61","USC00032540",33.8228,-92.3989
"62","USC00032794",35.9886,-92.7161
"63","USC00032930",36.4261,-94.4481
"64","USC00033242",34.5211,-90.59
"65","USC00033428",33.7092,-93.5564
"66","USC00033466",34.5128,-93.0486
"67","USC00034106",36.4194,-92.9158
"68","USC00034572",36.4947,-91.535
"69","USC00034638",34.7392,-90.7664
"70","USC00034756",34.5978,-94.29
"71","USC00035112",33.9292,-93.8508
"72","USC00035186",35.6042,-91.2744
"73","USC00035200",34.9553,-93.1594
"74","USC00035754",34.2256,-92.0186
"75","USC00035820",36.2642,-90.9683
"76","USC00035866",33.2511,-91.5058
"77","USC00035908",33.8203,-93.3878
"78","USC00036376",34.3703,-91.1242
"79","USC00036506",35.2678,-91.7167
"80","USC00036928",35.3028,-93.6369
"81","USC00037488",34.9228,-94.0944
"82","USC00040161",41.4903,-120.5439
"83","USC00040343",36.4914,-118.8253
"84","USC00040379",37.0919,-119.5128
"85","USC00040383",38.9072,-121.0839
"86","USC00040693",37.8744,-122.2606
"87","USC00040924",33.6139,-114.5978
"88","USC00040931",39.3886,-120.0936
"89","USC00041194",34.1867,-118.3481
"90","USC00041244",35.4028,-119.47
"91","USC00041277",38.2769,-120.3114
"92","USC00041428",38.2486,-120.8433
"93","USC00041497",40.1706,-121.0886
"94","USC00041614",41.53,-120.1792
"95","USC00041715",39.6911,-121.8211
"96","USC00041758",32.64,-117.0858
"97","USC00041864",36.1356,-120.3606
"98","USC00041912",39.09,-120.9469
"99","USC00042147",41.7958,-124.2147
"100","USC00042214",34.005,-118.4139
"101","USC00042294",38.535,-121.7761
"102","USC00042598",33.8081,-115.4514
"103","USC00042713",32.7669,-115.5617
"104","USC00042805",33.6861,-117.3458
"105","USC00042941",34.705,-118.4297
"106","USC00043157",41.8714,-120.1575
"107","USC00043182",41.6011,-122.8478
"108","USC00043261",36.9969,-119.7072
"109","USC00043551",36.7375,-118.9619
"110","USC00043578",38.4306,-122.8647
"111","USC00043710",36.1389,-117.9528
"112","USC00043714",37.4725,-122.4433
"113","USC00043747",36.3158,-119.6369
"114","USC00043761",41.7961,-123.3747
"115","USC00043824",40.9317,-121.5433
"116","USC00043855",33.7044,-115.6289
"117","USC00043875",38.6294,-122.8664
"118","USC00043914",33.2372,-116.7614
"119","USC00043939",37.9614,-119.7831
"120","USC00044211",33.7572,-116.7067
"121","USC00044223",32.8489,-115.5667
"122","USC00044232",36.7981,-118.2036
"123","USC00044297",34.1472,-115.1219
"124","USC00044500",37.9567,-122.5447
"125","USC00044890",36.3817,-119.0264
"126","USC00044957",36.2033,-119.0545
"127","USC00044997",37.6819,-121.7514
"128","USC00045032",38.1061,-121.2878
"129","USC00045118",37.0564,-120.8667
"130","USC00045123",37.2319,-121.9592
"131","USC00045233",36.9539,-120.0378
"132","USC00045449",41.2517,-122.1383
"133","USC00045502",33.5697,-116.0731
"134","USC00045532",37.2889,-120.5158
"135","USC00045679",40.3458,-121.6092
"136","USC00046074",38.2778,-122.2647
"137","USC00046136",39.2467,-121.0008
"138","USC00046144",37.5147,-122.0325
