,STATION,LATITUDE,LONGITUDE,COUNTS
1,US009052008,43.7333,-96.6333,81
2,US10adam001,40.568,-98.5069,0
3,US10adam002,40.5093,-98.5493,0
4,US10adam003,40.4663,-98.6537,0
5,US10adam004,40.4798,-98.4026,0
6,US10adam006,40.4372,-98.5912,0
7,US10adam007,40.5389,-98.4713,0
8,US10adam008,40.4953,-98.2973,0
9,US10adam010,40.5532,-98.6297,0
10,US10adam011,40.4078,-98.6161,0
11,US10adam012,40.62,-98.39,0
12,US10adam013,40.66,-98.42,0
13,US10adam015,40.6258,-98.7034,0
14,US10adam016,40.64,-98.3949,0
15,US10adam017,40.6567,-98.4789,0
16,US10adam019,40.6114,-98.5543,0
17,US10adam022,40.5936,-98.4299,0
18,US10adam023,40.5981,-98.4732,0
19,US10adam024,40.3901,-98.2715,0
20,US10adam025,40.6004,-98.3986,0
21,US10adam027,40.5998,-98.4723,0
22,US10adam028,40.4653,-98.6517,0
23,US10adam029,40.5536,-98.3166,0
24,US10adam032,40.3571,-98.4208,0
25,US10adam033,40.4127,-98.3538,0
26,US10adam034,40.6129,-98.6482,0
27,US10adam035,40.607,-98.4588,0
28,US10adam036,40.5609,-98.402,0
29,US10adam039,40.602,-98.4048,0
30,US10adam041,40.434,-98.4389,0
31,US10adam043,40.5917,-98.5092,0
32,US10adam045,40.6121,-98.3888,0
33,US10adam046,40.5443,-98.4208,0
34,US10adam047,40.5917,-98.4287,0
35,US10adam051,40.4166,-98.5341,0
36,US10adam055,40.4396,-98.3449,0
37,US10adam056,40.58,-98.3717,0
38,US10adam057,40.6607,-98.5535,0
39,US10ante003,42.3374,-98.2405,0
40,US10arth002,41.3955,-101.4074,0
41,US10bann001,41.6581,-103.6151,0
42,US10bann005,41.6415,-103.9481,0
43,US10bann006,41.5589,-103.7407,0
44,US10bann007,41.5037,-103.7634,0
45,US10bann008,41.6363,-103.6842,0
46,US10bann009,41.6804,-103.6852,0
47,US10blai001,41.9138,-99.9644,0
48,US10blai003,41.7609,-100.2353,0
49,US10blai004,41.9043,-100.2657,0
50,US10blai005,42.0189,-100.1227,0
51,US10blai006,42.0715,-100.0649,0
52,US10blai008,41.803,-100.2225,0
53,US10blai010,41.9224,-99.7449,0
54,US10blai011,41.8838,-100.174,0
55,US10blai012,41.8194,-100.1071,0
56,US10blai013,41.7495,-99.7601,0
57,US10boon002,41.5249,-97.9933,0
58,US10boon003,41.7571,-98.2343,0
59,US10boon004,41.684,-97.9872,0
60,US10boon005,41.6402,-97.9951,0
61,US10boon006,41.502,-98.158,0
62,US10boon007,41.8655,-98.2295,0
63,US10boon008,41.6273,-98.2379,0
64,US10boon009,41.6685,-97.8945,0
65,US10boon010,41.6689,-98.1166,0
66,US10boon011,41.8518,-98.0448,0
67,US10box_001,42.1911,-102.9518,0
68,US10box_003,42.017,-102.9953,0
69,US10box_004,42.1486,-102.749,0
70,US10box_005,42.3195,-103.0705,0
71,US10box_006,42.3653,-102.9952,0
72,US10box_007,42.1675,-102.8005,0
73,US10box_008,42.2712,-103.141,0
74,US10box_009,42.3968,-102.8848,0
75,US10box_010,42.116,-103.4295,0
76,US10box_013,42.1138,-102.8901,0
77,US10box_014,42.2981,-102.8596,0
78,US10box_020,42.3167,-103.0787,0
79,US10box_023,42.4093,-102.7894,0
80,US10box_024,42.3263,-102.9934,0
81,US10box_030,42.2357,-103.3072,0
82,US10boyd002,42.9095,-98.8492,0
83,US10boyd003,42.9141,-98.6603,0
84,US10boyd005,42.9096,-98.8428,0
85,US10brow001,42.5359,-99.7092,0
86,US10brow003,42.636,-100.015,0
87,US10brow004,42.5375,-100.1208,0
88,US10brow005,42.6748,-99.7695,0
89,US10brow006,42.5718,-100.0545,0
90,US10brow007,42.6988,-100.0668,0
91,US10brow008,42.3248,-100.061,0
92,US10brow009,42.3171,-100.0112,0
93,US10buff001,40.7826,-99.1023,0
94,US10buff002,40.7062,-99.1142,0
95,US10buff003,40.9445,-98.8465,0
96,US10buff004,40.6908,-99.094,0
97,US10buff005,40.8588,-98.9216,0
98,US10buff006,40.9223,-99.3868,0
99,US10buff007,40.9903,-98.8699,0
100,US10buff008,40.9593,-98.9631,0
101,US10buff010,40.9789,-99.0637,0
102,US10buff011,40.7725,-98.7306,0
103,US10buff012,40.7494,-98.8479,0
104,US10buff013,40.6995,-99.4062,0
105,US10buff015,40.8477,-99.3277,0
106,US10buff017,40.7236,-99.1035,0
107,US10buff018,40.665,-99.0852,0
108,US10buff019,40.9728,-98.8024,0
109,US10buff020,40.7407,-99.0647,0
110,US10buff025,40.7412,-99.1602,0
111,US10buff034,40.8144,-98.8403,0
112,US10buff036,40.7853,-99.1653,0
113,US10buff039,40.8153,-98.8355,0
114,US10burt001,41.7267,-96.1557,0
115,US10burt002,41.6965,-96.3619,0
116,US10burt003,41.8593,-96.4701,0
117,US10burt004,41.7859,-96.4065,0
118,US10butl003,41.1229,-97.367,0
119,US10butl004,41.219,-97.349,0
120,US10butl005,41.185,-97.2542,0
121,US10butl008,41.158,-96.9952,0
122,US10butl010,41.2963,-97.3493,0
123,US10butl011,41.3221,-97.3465,0
124,US10butl013,41.3565,-97.2356,0
125,US10butl015,41.0706,-97.3672,0
126,US10butl020,41.2557,-97.1301,0
127,US10cass001,40.9946,-95.8976,0
128,US10cass005,40.865,-96.1171,0
129,US10cass010,40.8048,-96.4467,0
130,US10cass011,41.0289,-95.9874,0
